method,threshold_mean,threshold_std,threshold_min,threshold_25%,threshold_75%,threshold_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_75%,roc_auc_max,tpr_mean,tpr_std,tpr_min,tpr_25%,tpr_75%,tpr_max,tnr_mean,tnr_std,tnr_min,tnr_25%,tnr_75%,tnr_max,geometric_mean_mean,geometric_mean_std,geometric_mean_min,geometric_mean_25%,geometric_mean_75%,geometric_mean_max,arithmetic_mean_mean,arithmetic_mean_std,arithmetic_mean_min,arithmetic_mean_25%,arithmetic_mean_75%,arithmetic_mean_max
../../partD-experiments/data-methods/validation/rus_0pt0014_d2,0.2257,0.0362,0.1855,0.1968,0.2461,0.3005,0.7676,0.0285,0.72,0.7488,0.796,0.8034,0.7583,0.0309,0.7087,0.733,0.7743,0.8058,0.7237,0.0343,0.6577,0.7072,0.7475,0.7736,0.7406,0.0273,0.7077,0.72,0.7512,0.7848,0.741,0.0271,0.7077,0.7201,0.7512,0.7849
../../partD-experiments/data-methods/validation/ros_1418_rus_0pt5_d2,0.4348,0.0756,0.336,0.3595,0.4891,0.5465,0.8051,0.0263,0.7608,0.7861,0.824,0.8467,0.7699,0.0378,0.7282,0.7354,0.8058,0.8252,0.7376,0.0281,0.6897,0.7264,0.7501,0.7838,0.7535,0.0308,0.7086,0.7306,0.7733,0.7995,0.7537,0.0309,0.7089,0.7307,0.7739,0.7997
../../partD-experiments/data-methods/validation/rus_0pt00035_d4,0.6057,0.085,0.449,0.5411,0.66,0.7115,0.7131,0.0243,0.6909,0.7018,0.7129,0.777,0.7456,0.0209,0.7087,0.7379,0.7549,0.7767,0.694,0.0447,0.609,0.6821,0.7284,0.7471,0.7188,0.0201,0.6878,0.7059,0.7377,0.7473,0.7198,0.0189,0.6929,0.7061,0.7377,0.7473
../../partD-experiments/data-methods/validation/rus_0pt0014_d4,0.2954,0.0475,0.2045,0.2786,0.3256,0.366,0.7422,0.032,0.6845,0.7285,0.7567,0.7865,0.7534,0.0206,0.7087,0.75,0.767,0.7767,0.7243,0.0219,0.69,0.7059,0.7428,0.7544,0.7387,0.0181,0.7059,0.7328,0.7511,0.7558,0.7389,0.0181,0.7059,0.7333,0.7511,0.7558
../../partD-experiments/data-methods/validation/ros_1418_rus_0pt5_d4,0.4876,0.0705,0.3795,0.433,0.5409,0.5765,0.784,0.0287,0.733,0.7685,0.7955,0.8447,0.7456,0.0316,0.699,0.7306,0.7646,0.7961,0.7239,0.0259,0.6849,0.7054,0.7377,0.766,0.7345,0.0228,0.6935,0.7305,0.7483,0.7665,0.7347,0.0229,0.6935,0.7305,0.7484,0.7665
../../partD-experiments/data-methods/validation/rus_0pt00035_d2,0.5008,0.0444,0.4445,0.4628,0.5196,0.594,0.7304,0.0192,0.7044,0.7195,0.7471,0.7615,0.7379,0.0251,0.7087,0.7184,0.7549,0.7864,0.7036,0.0198,0.6736,0.6935,0.7224,0.7284,0.7204,0.0177,0.6972,0.703,0.7361,0.7407,0.7207,0.0178,0.6975,0.7032,0.7362,0.7419
../../partD-experiments/data-methods/validation/rus_0pt00082_d4,0.445,0.0318,0.3865,0.4248,0.4656,0.485,0.7007,0.0263,0.6611,0.6851,0.7231,0.738,0.7233,0.0444,0.6602,0.6893,0.7621,0.7961,0.6647,0.0337,0.5967,0.6606,0.6864,0.699,0.6929,0.0285,0.6555,0.678,0.7133,0.746,0.694,0.0285,0.6569,0.682,0.7139,0.7476
../../partD-experiments/data-methods/validation/rus_0pt00082_d2,0.3424,0.0388,0.267,0.3261,0.3605,0.4055,0.74,0.0205,0.7084,0.7313,0.7534,0.7727,0.7544,0.0417,0.699,0.7184,0.7767,0.835,0.7032,0.0187,0.675,0.6943,0.7149,0.7312,0.7279,0.0181,0.699,0.7166,0.7384,0.7609,0.7288,0.0189,0.699,0.7166,0.7387,0.7642
../../partD-experiments/data-methods/validation/rus_0pt0701_d2,0.0052,0.0005,0.0045,0.005,0.0055,0.006,0.801,0.0193,0.7597,0.7964,0.8089,0.8256,0.7699,0.0122,0.7573,0.7573,0.7767,0.7864,0.7307,0.0234,0.6954,0.7092,0.7458,0.7554,0.75,0.0153,0.7257,0.7398,0.7637,0.766,0.7503,0.0151,0.7263,0.7405,0.7639,0.766
../../partD-experiments/data-methods/validation/ros_709_rus_0pt25_d4,0.4356,0.0897,0.313,0.3841,0.4889,0.5735,0.8049,0.0298,0.7553,0.7798,0.83,0.8406,0.7641,0.0286,0.7087,0.7476,0.784,0.8058,0.7401,0.021,0.7038,0.7308,0.7486,0.7701,0.7519,0.0232,0.7063,0.7418,0.768,0.7874,0.7521,0.0233,0.7063,0.7418,0.7684,0.7876
../../partD-experiments/data-methods/validation/ros_283_rus_0pt1_d2,0.4657,0.0763,0.324,0.4129,0.5209,0.573,0.8202,0.0206,0.7866,0.8043,0.835,0.8547,0.7835,0.0352,0.7379,0.75,0.8058,0.835,0.7411,0.0361,0.6536,0.7376,0.7657,0.7833,0.7615,0.0229,0.7377,0.7409,0.7813,0.7945,0.7623,0.0224,0.7377,0.7451,0.7815,0.7946
../../partD-experiments/data-methods/validation/rus_0pt0701_d4,0.0047,0.0008,0.0035,0.0045,0.0054,0.006,0.7879,0.0218,0.7623,0.7705,0.8013,0.8318,0.7621,0.0268,0.7282,0.7403,0.7816,0.8058,0.7268,0.0183,0.6906,0.7156,0.7403,0.752,0.7441,0.0166,0.7228,0.7286,0.7528,0.7738,0.7445,0.0167,0.7228,0.7287,0.753,0.7741
../../partD-experiments/data-methods/validation/ros_709_rus_0pt25_d2,0.4446,0.0458,0.3645,0.4195,0.4861,0.5,0.8153,0.0181,0.7812,0.8028,0.8297,0.8387,0.801,0.0294,0.767,0.7791,0.8252,0.8447,0.7304,0.0422,0.6715,0.7005,0.7728,0.7817,0.7643,0.0188,0.7352,0.7487,0.7803,0.7889,0.7657,0.0182,0.7363,0.7503,0.7804,0.7889
